The last match: YP eSuba 14 16 10th December 2015
  6.95033e-310 -1
1337  1393.2 40
LANDODGERS  1300.65 28
THEOLDGUARD  1183.74 3
Revolte  1372.18 9
Ecuador  1107.6 4
Disruption  1101.27 4
[v]  1145.83 2
Paradox  1220.94 8
GamersINC  1131.63 4
KKTV5.com  1374.1 23
CSGO.one  1290.42 55
Orbitfe  1112.5 2
AWAKE  1149.78 1
Gosu  1133.37 12
Enso  1208.6 62
FlipSid3Staff  1123.45 6
NiP  1517.53 318
Mindplay  1143.89 3
CdR  1097.07 4
Exgaming  1141.96 3
JakeBube  1085.06 12
Awsomniac  1235.7 6
WOOSAH  1041.54 15
KappaKappa  1091.56 8
?  1520.58 411
schlaegeros  1083.8 8
GIANT5  1071.25 7
Avenue  1144.73 2
ToTheTop  1128.89 2
lanlaget  1243.24 4
Swarm  1203.16 12
Belgium  1259.07 13
FenixFire  1257.99 46
E-frag.net  1396.94 412
Aimbat  1219.8 1
Iceland  1184.45 12
Pt3eu  1082.32 4
HellRaisers  1403.68 437
OK2STRONG  1102.14 2
Aviato  1120.66 3
Ubinited  1231.92 25
Evolution  1202.71 71
RoyalFamily  1144.51 1
Paraguay  1135.48 5
Palestine  1123.27 2
Enemy  1284.2 126
Epsilonfe  995.124 12
Nostalgie  1269.83 21
Team8  1113.26 4
SAIDERc  1181.25 6
TS-Netteux  1153.22 3
Cyprus  1192.53 3
Moldova  1178.56 4
E-frag.netStaff  1285.44 27
PrecisionGaming  1144.69 7
Thailand  1218.05 3
DIONAPPA  1202.22 3
Distinct5  1101.86 4
ACE  1180.41 133
NPME  1142.88 5
Frederiksberg  1154.69 5
h00liGaNz  1171.97 2
Kazakhstan  1154.69 7
Bovines  1171.5 3
neXtPlease!  1209.96 53
CMStorm  1161.72 21
hard'N'play  1051.29 8
Teamnex  1246.3 3
beGenius  1171.26 3
Nexus  1121.06 36
MVPproject  1136.13 2
b2W  1150.29 1
Excellence  1130.27 3
ClockTime  1154.91 1
NatusVincere  1490.32 407
WorstPlayers  1138.95 43
Uruguay  1055.66 4
TRS  1242.05 7
Torqued  1362.1 32
WiLD  1173.16 18
RapturePlay  1223.52 2
ATB  1097.22 14
melty  1307.66 34
TyLoo  1585.14 52
J2G  1193.45 6
TwistoFate  1161.16 5
Aftermatch  1179.08 10
RampageKillers  1173.01 12
ALSENfe  1055.46 4
VirtualImpact  1207.39 2
Bizounours  1200.03 1
InfernalParadise  1154.86 5
JAYOB  1304.38 2
rizeGaming  1220.94 3
VatosLocos  1145.38 2
MiTH  1064.21 6
skillz.LV  1143 8
LowLandLions  1122.81 10
nEophyte  1150.62 13
EFV  1116.18 8
clanHeat  1160.33 1
TheLastResort  1122.84 6
Planetkey  1210.68 60
Noxiousgaming  1161.41 8
G2  1481.69 200
Rhythm  1138.13 2
RCTIC  1250.79 56
Braindead  1148.49 10
HellRaisers.proStaff  1039.53 4
DWG  1051.6 5
EpiphanyBolt  1299.81 79
Skyred  1230.88 39
Nface  1168.77 1
Bosnia&Herzegovina  1123.99 5
India  1195.84 2
Algeria  1188.19 5
aimLess  1232.16 2
Dictionary  1283.7 6
GfinityStaff  1279.67 2
Method  1215.45 173
RB  1117.29 22
YPLadies  1121.43 9
Infused  1180.78 88
TheScrimmers  1279.51 1
p@p@d@s  1327.58 5
PerilousFury  1117.96 2
MIXCAT  1407.89 25
GRS.GP  1093.48 6
EasyFix  1177.2 13
Spain  1274.81 13
ISKOLD  1217.53 17
LeiSuRe  1214.53 7
NewZealand  1064.64 8
3DMAX  1378.03 54
Montenegro  1140.56 2
HS.GG  1193.38 9
XENEX  1221.65 19
PlayingDucks  1055.08 97
CPLAY  1280.27 84
Portugal  1281.55 10
Steelseries  1101.16 23
MnM  1100.08 7
Revival  1174.23 7
MiA  1070.12 13
Infinity  1134.86 8
Reason  1299.04 142
Athletico  1211.51 4
KoNDenmark  1228.18 13
NiPStaff  1117.87 10
Hungary  1179.6 10
Enervate.A  1150.14 2
myXMG  1126.43 39
All-StarsEurope  1233.21 1
BET  1154.94 2
iBUYPOWER  1257.34 3
Cybersport.plStaff  1164.53 2
PRiME  1124.09 2
UNLEASHED  1144.88 11
fish123  1205.4 7
eaZyQuaL  1165.87 1
Goalie  1149.63 6
Russia  1373.19 16
fSociety  1294.62 5
N4K  1198.36 4
Indonesia  1145.28 10
TEAMSWAGYOLO  1181.71 51
Hitbox.tvStaff  1058.82 4
WHYSchwyz  1144.51 1
Airwalk  1079.26 4
NobleHonor  999.269 9
SneakyAssasins  1100.83 19
Malta  1139.76 2
Backfire  1187.08 9
pow  1102.38 22
Immersive  1116.36 3
pMd  1134.15 4
SouthAfrica  1011.87 5
KnockOutStars  1162.55 9
Propertyfe  987.74 9
tryPANTS  1184.57 8
Expert  1142.61 3
Temp.no  1120.92 11
PENTA  1288.43 370
Comeback  1219.37 4
AlienTech  1275.83 57
FnaticStaff  1185.94 15
France  1484.65 19
ENCORE  1273.51 53
Coast  1110.73 30
AsusROG  1193.41 5
private  1163.41 4
ACG  1258.16 23
Poland  1398.6 19
iNation  1348.93 47
Sharkgaming  1181.39 12
Azerbaijan  1138.79 2
eBettle  1360.01 56
nerdRage  1205.64 131
DamageControl  1183.18 6
NeckBreak  1143.82 2
AGENT  1117.25 20
xqR  1193.57 11
1hp  1158.69 1
h$fyre  1152.16 5
no_rhythm  1216.62 5
SoF  1268.68 7
CSGOBESTPOT.com  1163.73 2
GdanskLions  1111.54 8
Check6  1150.69 11
7Kings  1064.01 6
MIXERINO  1110.43 2
Reaction  1070.81 3
eSportEngine  1246.81 10
BadMonkey  1261.87 16
Colombia  1127.69 5
